Module 	X	Y	Z
1	158.35	-1072.25	2998.25
2	201.95	-1072.25	2998.25
3	245.55	-1072.25	2998.25
4	27.55	-986.55	2998.25
5	71.15	-986.55	2998.25
6	114.75	-986.55	2998.25
7	158.35	-986.55	2998.25
8	201.95	-986.55	2998.25
9	245.55	-986.55	2998.25
10	289.15	-986.55	2998.25
11	332.75	-986.55	2998.25
12	376.35	-986.55	2998.25
13	419.95	-986.55	2998.25
14	463.55	-986.55	2998.25
15	507.15	-986.55	2998.25
16	27.55	-900.85	2998.25
17	71.15	-900.85	2998.25
18	114.75	-900.85	2998.25
19	158.35	-900.85	2998.25
20	201.95	-900.85	2998.25
21	245.55	-900.85	2998.25
22	289.15	-900.85	2998.25
23	332.75	-900.85	2998.25
24	376.35	-900.85	2998.25
25	419.95	-900.85	2998.25
26	463.55	-900.85	2998.25
27	507.15	-900.85	2998.25
28	550.75	-900.85	2998.25
29	594.35	-900.85	2998.25
30	637.95	-900.85	2998.25
31	681.55	-900.85	2998.25
32	27.55	-815.15	2998.25
33	71.15	-815.15	2998.25
34	114.75	-815.15	2998.25
35	158.35	-815.15	2998.25
36	201.95	-815.15	2998.25
37	245.55	-815.15	2998.25
38	289.15	-815.15	2998.25
39	332.75	-815.15	2998.25
40	376.35	-815.15	2998.25
41	419.95	-815.15	2998.25
42	463.55	-815.15	2998.25
43	507.15	-815.15	2998.25
44	550.75	-815.15	2998.25
45	594.35	-815.15	2998.25
46	637.95	-815.15	2998.25
47	681.55	-815.15	2998.25
48	725.15	-815.15	2998.25
49	768.75	-815.15	2998.25
50	27.55	-729.45	2998.25
51	71.15	-729.45	2998.25
52	114.75	-729.45	2998.25
53	158.35	-729.45	2998.25
54	201.95	-729.45	2998.25
55	245.55	-729.45	2998.25
56	289.15	-729.45	2998.25
57	332.75	-729.45	2998.25
58	376.35	-729.45	2998.25
59	419.95	-729.45	2998.25
60	463.55	-729.45	2998.25
61	507.15	-729.45	2998.25
62	550.75	-729.45	2998.25
63	594.35	-729.45	2998.25
64	637.95	-729.45	2998.25
65	681.55	-729.45	2998.25
66	725.15	-729.45	2998.25
67	768.75	-729.45	2998.25
68	812.35	-729.45	2998.25
69	855.95	-729.45	2998.25
70	27.55	-643.75	2998.25
71	71.15	-643.75	2998.25
72	114.75	-643.75	2998.25
73	158.35	-643.75	2998.25
74	201.95	-643.75	2998.25
75	245.55	-643.75	2998.25
76	289.15	-643.75	2998.25
77	332.75	-643.75	2998.25
78	376.35	-643.75	2998.25
79	419.95	-643.75	2998.25
80	463.55	-643.75	2998.25
81	507.15	-643.75	2998.25
82	550.75	-643.75	2998.25
83	594.35	-643.75	2998.25
84	637.95	-643.75	2998.25
85	681.55	-643.75	2998.25
86	725.15	-643.75	2998.25
87	768.75	-643.75	2998.25
88	812.35	-643.75	2998.25
89	855.95	-643.75	2998.25
90	899.55	-643.75	2998.25
91	27.55	-558.05	2998.25
92	71.15	-558.05	2998.25
93	114.75	-558.05	2998.25
94	158.35	-558.05	2998.25
95	201.95	-558.05	2998.25
96	245.55	-558.05	2998.25
97	289.15	-558.05	2998.25
98	332.75	-558.05	2998.25
99	376.35	-558.05	2998.25
100	419.95	-558.05	2998.25
101	463.55	-558.05	2998.25
102	507.15	-558.05	2998.25
103	550.75	-558.05	2998.25
104	594.35	-558.05	2998.25
105	637.95	-558.05	2998.25
106	681.55	-558.05	2998.25
107	725.15	-558.05	2998.25
108	768.75	-558.05	2998.25
109	812.35	-558.05	2998.25
110	855.95	-558.05	2998.25
111	899.55	-558.05	2998.25
112	943.15	-558.05	2998.25
113	986.75	-558.05	2998.25
114	27.55	-472.35	2998.25
115	71.15	-472.35	2998.25
116	114.75	-472.35	2998.25
117	158.35	-472.35	2998.25
118	201.95	-472.35	2998.25
119	245.55	-472.35	2998.25
120	289.15	-472.35	2998.25
121	332.75	-472.35	2998.25
122	376.35	-472.35	2998.25
123	419.95	-472.35	2998.25
124	463.55	-472.35	2998.25
125	507.15	-472.35	2998.25
126	550.75	-472.35	2998.25
127	594.35	-472.35	2998.25
128	637.95	-472.35	2998.25
129	681.55	-472.35	2998.25
130	725.15	-472.35	2998.25
131	768.75	-472.35	2998.25
132	812.35	-472.35	2998.25
133	855.95	-472.35	2998.25
134	899.55	-472.35	2998.25
135	943.15	-472.35	2998.25
136	986.75	-472.35	2998.25
137	27.55	-385.65	2998.25
138	71.15	-385.65	2998.25
139	114.75	-385.65	2998.25
140	245.55	-385.65	2998.25
141	289.15	-385.65	2998.25
142	332.75	-385.65	2998.25
143	376.35	-385.65	2998.25
144	419.95	-385.65	2998.25
145	463.55	-385.65	2998.25
146	507.15	-385.65	2998.25
147	550.75	-385.65	2998.25
148	594.35	-385.65	2998.25
149	637.95	-385.65	2998.25
150	681.55	-385.65	2998.25
151	725.15	-385.65	2998.25
152	768.75	-385.65	2998.25
153	812.35	-385.65	2998.25
154	855.95	-385.65	2998.25
155	899.55	-385.65	2998.25
156	943.15	-385.65	2998.25
157	289.15	-299.95	2998.25
158	332.75	-299.95	2998.25
159	376.35	-299.95	2998.25
160	419.95	-299.95	2998.25
161	463.55	-299.95	2998.25
162	507.15	-299.95	2998.25
163	550.75	-299.95	2998.25
164	594.35	-299.95	2998.25
165	637.95	-299.95	2998.25
166	681.55	-299.95	2998.25
167	725.15	-299.95	2998.25
168	768.75	-299.95	2998.25
169	812.35	-299.95	2998.25
170	855.95	-299.95	2998.25
171	899.55	-299.95	2998.25
172	943.15	-299.95	2998.25
173	986.75	-299.95	2998.25
174	1030.35	-299.95	2998.25
175	1073.95	-299.95	2998.25
176	332.75	-214.25	2998.25
177	376.35	-214.25	2998.25
178	419.95	-214.25	2998.25
179	463.55	-214.25	2998.25
180	507.15	-214.25	2998.25
181	550.75	-214.25	2998.25
182	594.35	-214.25	2998.25
183	637.95	-214.25	2998.25
184	681.55	-214.25	2998.25
185	725.15	-214.25	2998.25
186	768.75	-214.25	2998.25
187	812.35	-214.25	2998.25
188	855.95	-214.25	2998.25
189	899.55	-214.25	2998.25
190	943.15	-214.25	2998.25
191	986.75	-214.25	2998.25
192	1030.35	-214.25	2998.25
193	1073.95	-214.25	2998.25
194	376.35	-128.55	2998.25
195	419.95	-128.55	2998.25
196	463.55	-128.55	2998.25
197	507.15	-128.55	2998.25
198	550.75	-128.55	2998.25
199	594.35	-128.55	2998.25
200	637.95	-128.55	2998.25
201	681.55	-128.55	2998.25
202	725.15	-128.55	2998.25
203	768.75	-128.55	2998.25
204	812.35	-128.55	2998.25
205	855.95	-128.55	2998.25
206	899.55	-128.55	2998.25
207	943.15	-128.55	2998.25
208	986.75	-128.55	2998.25
209	1030.35	-128.55	2998.25
210	1073.95	-128.55	2998.25
211	463.55	-42.85	2998.25
212	507.15	-42.85	2998.25
213	550.75	-42.85	2998.25
214	594.35	-42.85	2998.25
215	637.95	-42.85	2998.25
216	681.55	-42.85	2998.25
217	725.15	-42.85	2998.25
218	768.75	-42.85	2998.25
219	812.35	-42.85	2998.25
220	855.95	-42.85	2998.25
221	899.55	-42.85	2998.25
222	943.15	-42.85	2998.25
223	986.75	-42.85	2998.25
224	1030.35	-42.85	2998.25
225	1073.95	-42.85	2998.25
226	463.55	42.85	2998.25
227	507.15	42.85	2998.25
228	550.75	42.85	2998.25
229	594.35	42.85	2998.25
230	637.95	42.85	2998.25
231	681.55	42.85	2998.25
232	725.15	42.85	2998.25
233	768.75	42.85	2998.25
234	812.35	42.85	2998.25
