Module 	X	Y	Z
1	158.350	-1114.100	3028.5
2	201.950	-1114.100	3028.5
3	245.550	-1114.100	3028.5
4	114.750	-1028.400	3028.5
5	158.350	-1028.400	3028.5
6	201.950	-1028.400	3028.5
7	245.550	-1028.400	3028.5
8	289.150	-1028.400	3028.5
9	332.750	-1028.400	3028.5
10	376.350	-1028.400	3028.5
11	419.950	-1028.400	3028.5
12	463.550	-1028.400	3028.5
13	507.150	-1028.400	3028.5
14	27.550	-942.700	3028.5
15	71.150	-942.700	3028.5
16	114.750	-942.700	3028.5
17	158.350	-942.700	3028.5
18	201.950	-942.700	3028.5
19	245.550	-942.700	3028.5
20	289.150	-942.700	3028.5
21	332.750	-942.700	3028.5
22	376.350	-942.700	3028.5
23	419.950	-942.700	3028.5
24	463.550	-942.700	3028.5
25	507.150	-942.700	3028.5
26	550.750	-942.700	3028.5
27	594.350	-942.700	3028.5
28	637.950	-942.700	3028.5
29	27.550	-857.000	3028.5
30	71.150	-857.000	3028.5
31	114.750	-857.000	3028.5
32	158.350	-857.000	3028.5
33	201.950	-857.000	3028.5
34	245.550	-857.000	3028.5
35	289.150	-857.000	3028.5
36	332.750	-857.000	3028.5
37	376.350	-857.000	3028.5
38	419.950	-857.000	3028.5
39	463.550	-857.000	3028.5
40	507.150	-857.000	3028.5
41	550.750	-857.000	3028.5
42	594.350	-857.000	3028.5
43	637.950	-857.000	3028.5
44	681.550	-857.000	3028.5
45	725.150	-857.000	3028.5
46	27.550	-771.300	3028.5
47	71.150	-771.300	3028.5
48	114.750	-771.300	3028.5
49	158.350	-771.300	3028.5
50	201.950	-771.300	3028.5
51	245.550	-771.300	3028.5
52	289.150	-771.300	3028.5
53	332.750	-771.300	3028.5
54	376.350	-771.300	3028.5
55	419.950	-771.300	3028.5
56	463.550	-771.300	3028.5
57	507.150	-771.300	3028.5
58	550.750	-771.300	3028.5
59	594.350	-771.300	3028.5
60	637.950	-771.300	3028.5
61	681.550	-771.300	3028.5
62	725.150	-771.300	3028.5
63	768.750	-771.300	3028.5
64	812.350	-771.300	3028.5
65	27.550	-685.600	3028.5
66	71.150	-685.600	3028.5
67	114.750	-685.600	3028.5
68	158.350	-685.600	3028.5
69	201.950	-685.600	3028.5
70	245.550	-685.600	3028.5
71	289.150	-685.600	3028.5
72	332.750	-685.600	3028.5
73	376.350	-685.600	3028.5
74	419.950	-685.600	3028.5
75	463.550	-685.600	3028.5
76	507.150	-685.600	3028.5
77	550.750	-685.600	3028.5
78	594.350	-685.600	3028.5
79	637.950	-685.600	3028.5
80	681.550	-685.600	3028.5
81	725.150	-685.600	3028.5
82	768.750	-685.600	3028.5
83	812.350	-685.600	3028.5
84	855.950	-685.600	3028.5
85	899.550	-685.600	3028.5
86	27.550	-599.900	3028.5
87	71.150	-599.900	3028.5
88	114.750	-599.900	3028.5
89	158.350	-599.900	3028.5
90	201.950	-599.900	3028.5
91	245.550	-599.900	3028.5
92	289.150	-599.900	3028.5
93	332.750	-599.900	3028.5
94	376.350	-599.900	3028.5
95	419.950	-599.900	3028.5
96	463.550	-599.900	3028.5
97	507.150	-599.900	3028.5
98	550.750	-599.900	3028.5
99	594.350	-599.900	3028.5
100	637.950	-599.900	3028.5
101	681.550	-599.900	3028.5
102	725.150	-599.900	3028.5
103	768.750	-599.900	3028.5
104	812.350	-599.900	3028.5
105	855.950	-599.900	3028.5
106	899.550	-599.900	3028.5
107	943.150	-599.900	3028.5
108	27.550	-514.200	3028.5
109	71.150	-514.200	3028.5
110	114.750	-514.200	3028.5
111	158.350	-514.200	3028.5
112	201.950	-514.200	3028.5
113	245.550	-514.200	3028.5
114	289.150	-514.200	3028.5
115	332.750	-514.200	3028.5
116	376.350	-514.200	3028.5
117	419.950	-514.200	3028.5
118	463.550	-514.200	3028.5
119	507.150	-514.200	3028.5
120	550.750	-514.200	3028.5
121	594.350	-514.200	3028.5
122	637.950	-514.200	3028.5
123	681.550	-514.200	3028.5
124	725.150	-514.200	3028.5
125	768.750	-514.200	3028.5
126	812.350	-514.200	3028.5
127	855.950	-514.200	3028.5
128	899.550	-514.200	3028.5
129	943.150	-514.200	3028.5
130	986.750	-514.200	3028.5
131	27.550	-428.500	3028.5
132	71.150	-428.500	3028.5
133	114.750	-428.500	3028.5
134	245.550	-428.500	3028.5
135	289.150	-428.500	3028.5
136	332.750	-428.500	3028.5
137	376.350	-428.500	3028.5
138	419.950	-428.500	3028.5
139	463.550	-428.500	3028.5
140	507.150	-428.500	3028.5
141	550.750	-428.500	3028.5
142	594.350	-428.500	3028.5
143	637.950	-428.500	3028.5
144	681.550	-428.500	3028.5
145	725.150	-428.500	3028.5
146	768.750	-428.500	3028.5
147	812.350	-428.500	3028.5
148	855.950	-428.500	3028.5
149	899.550	-428.500	3028.5
150	943.150	-428.500	3028.5
151	289.150	-342.800	3028.5
152	332.750	-342.800	3028.5
153	376.350	-342.800	3028.5
154	419.950	-342.800	3028.5
155	463.550	-342.800	3028.5
156	507.150	-342.800	3028.5
157	550.750	-342.800	3028.5
158	594.350	-342.800	3028.5
159	637.950	-342.800	3028.5
160	681.550	-342.800	3028.5
161	725.150	-342.800	3028.5
162	768.750	-342.800	3028.5
163	812.350	-342.800	3028.5
164	855.950	-342.800	3028.5
165	899.550	-342.800	3028.5
166	943.150	-342.800	3028.5
167	986.750	-342.800	3028.5
168	1030.350	-342.800	3028.5
169	1073.950	-342.800	3028.5
170	289.150	-257.100	3028.5
171	332.750	-257.100	3028.5
172	376.350	-257.100	3028.5
173	419.950	-257.100	3028.5
174	463.550	-257.100	3028.5
175	507.150	-257.100	3028.5
176	550.750	-257.100	3028.5
177	594.350	-257.100	3028.5
178	637.950	-257.100	3028.5
179	681.550	-257.100	3028.5
180	725.150	-257.100	3028.5
181	768.750	-257.100	3028.5
182	812.350	-257.100	3028.5
183	855.950	-257.100	3028.5
184	899.550	-257.100	3028.5
185	943.150	-257.100	3028.5
186	986.750	-257.100	3028.5
187	1030.350	-257.100	3028.5
188	1073.950	-257.100	3028.5
189	332.750	-171.400	3028.5
190	376.350	-171.400	3028.5
191	419.950	-171.400	3028.5
192	463.550	-171.400	3028.5
193	507.150	-171.400	3028.5
194	550.750	-171.400	3028.5
195	594.350	-171.400	3028.5
196	637.950	-171.400	3028.5
197	681.550	-171.400	3028.5
198	725.150	-171.400	3028.5
199	768.750	-171.400	3028.5
200	812.350	-171.400	3028.5
201	855.950	-171.400	3028.5
202	899.550	-171.400	3028.5
203	943.150	-171.400	3028.5
204	986.750	-171.400	3028.5
205	1030.350	-171.400	3028.5
206	1073.950	-171.400	3028.5
207	463.550	-85.700	3028.5
208	507.150	-85.700	3028.5
209	550.750	-85.700	3028.5
210	594.350	-85.700	3028.5
211	637.950	-85.700	3028.5
212	681.550	-85.700	3028.5
213	725.150	-85.700	3028.5
214	768.750	-85.700	3028.5
215	812.350	-85.700	3028.5
216	855.950	-85.700	3028.5
217	899.550	-85.700	3028.5
218	943.150	-85.700	3028.5
219	986.750	-85.700	3028.5
220	1030.350	-85.700	3028.5
221	1073.950	-85.700	3028.5
222	463.550	0.000	3028.5
223	507.150	0.000	3028.5
224	550.750	0.000	3028.5
225	594.350	0.000	3028.5
226	637.950	0.000	3028.5
227	681.550	0.000	3028.5
228	725.150	0.000	3028.5
229	768.750	0.000	3028.5
230	812.350	0.000	3028.5
231	855.950	0.000	3028.5
232	899.550	0.000	3028.5
233	943.150	0.000	3028.5
234	986.750	0.000	3028.5
235	1030.350	0.000	3028.5
236	1073.950	0.000	3028.5
237	376.350	85.700	3028.5
238	419.950	85.700	3028.5
239	463.550	85.700	3028.5
240	507.150	85.700	3028.5
241	550.750	85.700	3028.5
242	594.350	85.700	3028.5
243	637.950	85.700	3028.5
244	681.550	85.700	3028.5
245	725.150	85.700	3028.5
246	768.750	85.700	3028.5
247	812.350	85.700	3028.5
248	855.950	85.700	3028.5
249	899.550	85.700	3028.5
250	943.150	85.700	3028.5
251	986.750	85.700	3028.5
252	1030.350	85.700	3028.5
253	1073.950	85.700	3028.5
254	332.750	171.400	3028.5
255	376.350	171.400	3028.5
256	419.950	171.400	3028.5
257	463.550	171.400	3028.5
258	507.150	171.400	3028.5
259	550.750	171.400	3028.5
260	594.350	171.400	3028.5
261	637.950	171.400	3028.5
262	681.550	171.400	3028.5
263	725.150	171.400	3028.5
264	768.750	171.400	3028.5
265	812.350	171.400	3028.5
266	855.950	171.400	3028.5
267	899.550	171.400	3028.5
268	943.150	171.400	3028.5
269	986.750	171.400	3028.5
270	1030.350	171.400	3028.5
271	1073.950	171.400	3028.5
272	289.150	257.100	3028.5
273	332.750	257.100	3028.5
274	376.350	257.100	3028.5
275	419.950	257.100	3028.5
276	463.550	257.100	3028.5
277	507.150	257.100	3028.5
278	550.750	257.100	3028.5
279	594.350	257.100	3028.5
280	637.950	257.100	3028.5
281	681.550	257.100	3028.5
282	725.150	257.100	3028.5
283	768.750	257.100	3028.5
284	812.350	257.100	3028.5
285	855.950	257.100	3028.5
286	899.550	257.100	3028.5
287	943.150	257.100	3028.5
288	986.750	257.100	3028.5
289	1030.350	257.100	3028.5
290	1073.950	257.100	3028.5
291	289.150	342.800	3028.5
292	332.750	342.800	3028.5
293	376.350	342.800	3028.5
294	419.950	342.800	3028.5
295	463.550	342.800	3028.5
296	507.150	342.800	3028.5
297	550.750	342.800	3028.5
298	594.350	342.800	3028.5
299	637.950	342.800	3028.5
300	681.550	342.800	3028.5
301	725.150	342.800	3028.5
302	768.750	342.800	3028.5
303	812.350	342.800	3028.5
304	855.950	342.800	3028.5
305	899.550	342.800	3028.5
306	943.150	342.800	3028.5
307	27.550	428.500	3028.5
308	71.150	428.500	3028.5
309	114.750	428.500	3028.5
310	158.350	428.500	3028.5
311	201.950	428.500	3028.5
312	245.550	428.500	3028.5
313	289.150	428.500	3028.5
314	332.750	428.500	3028.5
315	376.350	428.500	3028.5
316	419.950	428.500	3028.5
317	463.550	428.500	3028.5
318	507.150	428.500	3028.5
