Module 	X	Y	Z			
1	158.350	-1114.100	3028.500			
2	201.950	-1114.100	3028.500			
3	245.550	-1114.100	3028.500			
4	114.750	-1028.400	3028.500			
5	158.350	-1028.400	3028.500			
6	201.950	-1028.400	3028.500			
7	245.550	-1028.400	3028.500			
8	289.150	-1028.400	3028.500			
9	332.750	-1028.400	3028.500			
10	376.350	-1028.400	3028.500			
11	419.950	-1028.400	3028.500			
12	463.550	-1028.400	3028.500			
13	507.150	-1028.400	3028.500			
14	27.550	-942.700	3028.500			
15	71.150	-942.700	3028.500			
16	114.750	-942.700	3028.500			
17	158.350	-942.700	3028.500			
18	201.950	-942.700	3028.500			
19	245.550	-942.700	3028.500			
20	289.150	-942.700	3028.500			
21	332.750	-942.700	3028.500			
22	376.350	-942.700	3028.500			
23	419.950	-942.700	3028.500			
24	463.550	-942.700	3028.500			
25	507.150	-942.700	3028.500			
26	550.750	-942.700	3028.500			
27	594.350	-942.700	3028.500			
28	637.950	-942.700	3028.500			
29	27.550	-857.000	3028.500			
30	71.150	-857.000	3028.500			
31	114.750	-857.000	3028.500			
32	158.350	-857.000	3028.500			
33	201.950	-857.000	3028.500			
34	245.550	-857.000	3028.500			
35	289.150	-857.000	3028.500			
36	332.750	-857.000	3028.500			
37	376.350	-857.000	3028.500			
38	419.950	-857.000	3028.500			
39	463.550	-857.000	3028.500			
40	507.150	-857.000	3028.500			
41	550.750	-857.000	3028.500			
42	594.350	-857.000	3028.500			
43	637.950	-857.000	3028.500			
44	681.550	-857.000	3028.500			
45	725.150	-857.000	3028.500			
46	27.550	-771.300	3028.500			
47	71.150	-771.300	3028.500			
48	114.750	-771.300	3028.500			
49	158.350	-771.300	3028.500			
50	201.950	-771.300	3028.500			
51	245.550	-771.300	3028.500			
52	289.150	-771.300	3028.500			
53	332.750	-771.300	3028.500			
54	376.350	-771.300	3028.500			
55	419.950	-771.300	3028.500			
56	463.550	-771.300	3028.500			
57	507.150	-771.300	3028.500			
58	550.750	-771.300	3028.500			
59	594.350	-771.300	3028.500			
60	637.950	-771.300	3028.500			
61	681.550	-771.300	3028.500			
62	725.150	-771.300	3028.500			
63	768.750	-771.300	3028.500			
64	812.350	-771.300	3028.500			
65	27.550	-685.600	3028.500			
66	71.150	-685.600	3028.500			
67	114.750	-685.600	3028.500			
68	158.350	-685.600	3028.500			
69	201.950	-685.600	3028.500			
70	245.550	-685.600	3028.500			
71	289.150	-685.600	3028.500			
72	332.750	-685.600	3028.500			
73	376.350	-685.600	3028.500			
74	419.950	-685.600	3028.500			
75	463.550	-685.600	3028.500			
76	507.150	-685.600	3028.500			
77	550.750	-685.600	3028.500			
78	594.350	-685.600	3028.500			
79	637.950	-685.600	3028.500			
80	681.550	-685.600	3028.500			
81	725.150	-685.600	3028.500			
82	768.750	-685.600	3028.500			
83	812.350	-685.600	3028.500			
84	855.950	-685.600	3028.500			
85	899.550	-685.600	3028.500			
86	27.550	-599.900	3028.500			
87	71.150	-599.900	3028.500			
88	114.750	-599.900	3028.500			
89	158.350	-599.900	3028.500			
90	201.950	-599.900	3028.500			
91	245.550	-599.900	3028.500			
92	289.150	-599.900	3028.500			
93	332.750	-599.900	3028.500			
94	376.350	-599.900	3028.500			
95	419.950	-599.900	3028.500			
96	463.550	-599.900	3028.500			
97	507.150	-599.900	3028.500			
98	550.750	-599.900	3028.500			
99	594.350	-599.900	3028.500			
100	637.950	-599.900	3028.500			
101	681.550	-599.900	3028.500			
102	725.150	-599.900	3028.500			
103	768.750	-599.900	3028.500			
104	812.350	-599.900	3028.500			
105	855.950	-599.900	3028.500			
106	899.550	-599.900	3028.500			
107	943.150	-599.900	3028.500			
