,X,Y
0,158.35,-1072.25
1,201.95,-1072.25
2,245.55,-1072.25
3,27.55,-986.55
4,71.15,-986.55
5,114.75,-986.55
6,158.35,-986.55
7,201.95,-986.55
8,245.55,-986.55
9,289.15,-986.55
10,332.75,-986.55
11,376.35,-986.55
12,419.95,-986.55
13,463.55,-986.55
14,507.15,-986.55
15,27.55,-900.85
16,71.15,-900.85
17,114.75,-900.85
18,158.35,-900.85
19,201.95,-900.85
20,245.55,-900.85
21,289.15,-900.85
22,332.75,-900.85
23,376.35,-900.85
24,419.95,-900.85
25,463.55,-900.85
26,507.15,-900.85
27,550.75,-900.85
28,594.35,-900.85
29,637.95,-900.85
30,681.55,-900.85
31,27.55,-815.15
32,71.15,-815.15
33,114.75,-815.15
34,158.35,-815.15
35,201.95,-815.15
36,245.55,-815.15
37,289.15,-815.15
38,332.75,-815.15
39,376.35,-815.15
40,419.95,-815.15
41,463.55,-815.15
42,507.15,-815.15
43,550.75,-815.15
44,594.35,-815.15
45,637.95,-815.15
46,681.55,-815.15
47,725.15,-815.15
48,768.75,-815.15
49,27.55,-729.45
50,71.15,-729.45
51,114.75,-729.45
52,158.35,-729.45
53,201.95,-729.45
54,245.55,-729.45
55,289.15,-729.45
56,332.75,-729.45
57,376.35,-729.45
58,419.95,-729.45
59,463.55,-729.45
60,507.15,-729.45
61,550.75,-729.45
62,594.35,-729.45
63,637.95,-729.45
64,681.55,-729.45
65,725.15,-729.45
66,768.75,-729.45
67,812.35,-729.45
68,855.95,-729.45
69,27.55,-643.75
70,71.15,-643.75
71,114.75,-643.75
72,158.35,-643.75
73,201.95,-643.75
74,245.55,-643.75
75,289.15,-643.75
76,332.75,-643.75
77,376.35,-643.75
78,419.95,-643.75
79,463.55,-643.75
80,507.15,-643.75
81,550.75,-643.75
82,594.35,-643.75
83,637.95,-643.75
84,681.55,-643.75
85,725.15,-643.75
86,768.75,-643.75
87,812.35,-643.75
88,855.95,-643.75
89,899.55,-643.75
90,27.55,-558.05
91,71.15,-558.05
92,114.75,-558.05
93,158.35,-558.05
94,201.95,-558.05
95,245.55,-558.05
96,289.15,-558.05
97,332.75,-558.05
98,376.35,-558.05
99,419.95,-558.05
100,463.55,-558.05
101,507.15,-558.05
102,550.75,-558.05
103,594.35,-558.05
104,637.95,-558.05
105,681.55,-558.05
106,725.15,-558.05
107,768.75,-558.05
108,812.35,-558.05
109,855.95,-558.05
110,899.55,-558.05
111,943.15,-558.05
112,986.75,-558.05
113,27.55,-472.35
114,71.15,-472.35
115,114.75,-472.35
116,158.35,-472.35
117,201.95,-472.35
118,245.55,-472.35
119,289.15,-472.35
120,332.75,-472.35
121,376.35,-472.35
122,419.95,-472.35
123,463.55,-472.35
124,507.15,-472.35
125,550.75,-472.35
126,594.35,-472.35
127,637.95,-472.35
128,681.55,-472.35
129,725.15,-472.35
130,768.75,-472.35
131,812.35,-472.35
132,855.95,-472.35
133,899.55,-472.35
134,943.15,-472.35
135,986.75,-472.35
136,27.55,-385.65
137,71.15,-385.65
138,114.75,-385.65
139,245.55,-385.65
140,289.15,-385.65
141,332.75,-385.65
142,376.35,-385.65
143,419.95,-385.65
144,463.55,-385.65
145,507.15,-385.65
146,550.75,-385.65
147,594.35,-385.65
148,637.95,-385.65
149,681.55,-385.65
150,725.15,-385.65
151,768.75,-385.65
152,812.35,-385.65
153,855.95,-385.65
154,899.55,-385.65
155,943.15,-385.65
156,289.15,-299.95
157,332.75,-299.95
158,376.35,-299.95
159,419.95,-299.95
160,463.55,-299.95
161,507.15,-299.95
162,550.75,-299.95
163,594.35,-299.95
164,637.95,-299.95
165,681.55,-299.95
166,725.15,-299.95
167,768.75,-299.95
168,812.35,-299.95
169,855.95,-299.95
170,899.55,-299.95
171,943.15,-299.95
172,986.75,-299.95
173,1030.35,-299.95
174,1073.95,-299.95
175,332.75,-214.25
176,376.35,-214.25
177,419.95,-214.25
178,463.55,-214.25
179,507.15,-214.25
180,550.75,-214.25
181,594.35,-214.25
182,637.95,-214.25
183,681.55,-214.25
184,725.15,-214.25
185,768.75,-214.25
186,812.35,-214.25
187,855.95,-214.25
188,899.55,-214.25
189,943.15,-214.25
190,986.75,-214.25
191,1030.35,-214.25
192,1073.95,-214.25
193,376.35,-128.55
194,419.95,-128.55
195,463.55,-128.55
196,507.15,-128.55
197,550.75,-128.55
198,594.35,-128.55
199,637.95,-128.55
200,681.55,-128.55
201,725.15,-128.55
202,768.75,-128.55
203,812.35,-128.55
204,855.95,-128.55
205,899.55,-128.55
206,943.15,-128.55
207,986.75,-128.55
208,1030.35,-128.55
209,1073.95,-128.55
210,463.55,-42.85
